ID,Class Name,Date,Time (IST),Dimensions (Width x Height),Xmin,Ymin,Xmax,Ymax,Frame Width,Frame Height
1,truck,17-11-2024,04:34:32 PM,256x511,785,178,1041,689,1440,1616
2,person,17-11-2024,04:34:32 PM,64x119,995,106,1059,225,1440,1616
1,truck,17-11-2024,04:34:33 PM,256x512,786,177,1042,689,1440,1616
2,person,17-11-2024,04:34:33 PM,65x119,994,106,1059,225,1440,1616
1,truck,17-11-2024,04:34:35 PM,255x508,786,179,1041,687,1440,1616
2,person,17-11-2024,04:34:35 PM,64x116,995,107,1059,223,1440,1616
1,truck,17-11-2024,04:34:36 PM,256x509,785,179,1041,688,1440,1616
1,truck,17-11-2024,04:34:37 PM,254x506,786,180,1040,686,1440,1616
1,truck,17-11-2024,04:34:38 PM,255x509,786,179,1041,688,1440,1616
1,truck,17-11-2024,04:34:40 PM,255x508,786,179,1041,687,1440,1616
2,person,17-11-2024,04:34:40 PM,63x117,996,107,1059,224,1440,1616
1,truck,17-11-2024,04:34:41 PM,255x508,786,179,1041,687,1440,1616
2,person,17-11-2024,04:34:41 PM,65x118,995,106,1060,224,1440,1616
1,person,17-11-2024,04:34:42 PM,60x117,997,107,1057,224,1440,1616
2,truck,17-11-2024,04:34:42 PM,257x506,785,180,1042,686,1440,1616
1,person,17-11-2024,04:34:43 PM,66x116,994,107,1060,223,1440,1616
2,truck,17-11-2024,04:34:43 PM,258x510,784,178,1042,688,1440,1616
1,truck,17-11-2024,04:34:46 PM,257x508,785,180,1042,688,1440,1616
2,person,17-11-2024,04:34:46 PM,61x118,997,106,1058,224,1440,1616
1,truck,17-11-2024,04:34:47 PM,256x508,785,180,1041,688,1440,1616
2,person,17-11-2024,04:34:47 PM,65x118,995,107,1060,225,1440,1616
1,truck,17-11-2024,04:34:49 PM,257x509,785,178,1042,687,1440,1616
2,person,17-11-2024,04:34:49 PM,67x116,994,107,1061,223,1440,1616
1,truck,17-11-2024,04:34:50 PM,256x508,785,179,1041,687,1440,1616
2,person,17-11-2024,04:34:50 PM,64x116,995,107,1059,223,1440,1616
1,truck,17-11-2024,04:34:51 PM,257x508,785,179,1042,687,1440,1616
2,person,17-11-2024,04:34:51 PM,67x119,994,106,1061,225,1440,1616
1,truck,17-11-2024,04:34:53 PM,257x510,785,178,1042,688,1440,1616
2,person,17-11-2024,04:34:53 PM,66x118,994,106,1060,224,1440,1616
1,truck,17-11-2024,04:34:54 PM,257x508,785,180,1042,688,1440,1616
2,person,17-11-2024,04:34:54 PM,65x116,995,108,1060,224,1440,1616
1,truck,17-11-2024,04:34:55 PM,254x509,786,179,1040,688,1440,1616
2,person,17-11-2024,04:34:55 PM,70x118,992,107,1062,225,1440,1616
1,truck,17-11-2024,04:34:57 PM,255x508,785,180,1040,688,1440,1616
2,person,17-11-2024,04:34:57 PM,65x117,995,107,1060,224,1440,1616
1,truck,17-11-2024,04:34:58 PM,252x509,787,179,1039,688,1440,1616
2,person,17-11-2024,04:34:58 PM,63x117,996,107,1059,224,1440,1616
1,person,17-11-2024,04:34:59 PM,63x117,995,107,1058,224,1440,1616
2,truck,17-11-2024,04:34:59 PM,258x507,784,180,1042,687,1440,1616
1,truck,17-11-2024,04:35:01 PM,255x508,785,179,1040,687,1440,1616
1,truck,17-11-2024,04:35:03 PM,256x510,785,178,1041,688,1440,1616
1,truck,17-11-2024,04:35:05 PM,257x509,785,179,1042,688,1440,1616
2,person,17-11-2024,04:35:05 PM,65x118,995,106,1060,224,1440,1616
1,truck,17-11-2024,04:35:07 PM,257x507,785,180,1042,687,1440,1616
2,person,17-11-2024,04:35:07 PM,66x116,995,107,1061,223,1440,1616
1,truck,17-11-2024,04:35:09 PM,255x508,785,179,1040,687,1440,1616
1,truck,17-11-2024,04:35:11 PM,257x508,784,179,1041,687,1440,1616
1,truck,17-11-2024,04:35:12 PM,256x506,785,180,1041,686,1440,1616
2,person,17-11-2024,04:35:12 PM,64x119,995,106,1059,225,1440,1616
1,truck,17-11-2024,04:35:14 PM,256x507,785,180,1041,687,1440,1616
2,person,17-11-2024,04:35:14 PM,65x118,994,106,1059,224,1440,1616
1,truck,17-11-2024,04:35:16 PM,258x508,784,179,1042,687,1440,1616
2,person,17-11-2024,04:35:16 PM,64x121,995,105,1059,226,1440,1616
1,truck,17-11-2024,04:35:17 PM,257x508,785,179,1042,687,1440,1616
2,person,17-11-2024,04:35:17 PM,63x120,996,106,1059,226,1440,1616
1,truck,17-11-2024,04:35:19 PM,257x508,785,179,1042,687,1440,1616
1,truck,17-11-2024,04:35:20 PM,258x509,784,179,1042,688,1440,1616
2,person,17-11-2024,04:35:20 PM,65x120,994,105,1059,225,1440,1616
1,person,17-11-2024,04:35:22 PM,67x118,994,107,1061,225,1440,1616
1,truck,17-11-2024,04:35:23 PM,256x508,785,179,1041,687,1440,1616
2,person,17-11-2024,04:35:23 PM,64x120,995,105,1059,225,1440,1616
1,person,17-11-2024,04:35:25 PM,62x117,996,107,1058,224,1440,1616
2,truck,17-11-2024,04:35:25 PM,256x510,785,178,1041,688,1440,1616
1,truck,17-11-2024,04:35:26 PM,258x509,784,179,1042,688,1440,1616
2,person,17-11-2024,04:35:26 PM,63x116,995,108,1058,224,1440,1616
1,person,17-11-2024,04:35:28 PM,65x117,995,107,1060,224,1440,1616
2,truck,17-11-2024,04:35:28 PM,258x508,784,179,1042,687,1440,1616
1,truck,17-11-2024,04:35:29 PM,256x508,785,179,1041,687,1440,1616
1,truck,17-11-2024,04:35:31 PM,255x508,786,179,1041,687,1440,1616
2,person,17-11-2024,04:35:31 PM,64x116,995,107,1059,223,1440,1616
1,truck,17-11-2024,04:35:32 PM,256x509,778,179,1034,688,1440,1616
2,person,17-11-2024,04:35:32 PM,67x120,994,105,1061,225,1440,1616
1,truck,17-11-2024,04:35:34 PM,257x507,785,180,1042,687,1440,1616
1,truck,17-11-2024,04:35:35 PM,255x508,786,179,1041,687,1440,1616
2,person,17-11-2024,04:35:35 PM,69x117,993,107,1062,224,1440,1616
1,truck,17-11-2024,04:35:37 PM,254x508,786,180,1040,688,1440,1616
1,truck,17-11-2024,04:35:39 PM,254x509,786,179,1040,688,1440,1616
2,person,17-11-2024,04:35:39 PM,69x119,993,106,1062,225,1440,1616
1,truck,17-11-2024,04:35:40 PM,256x508,786,179,1042,687,1440,1616
2,person,17-11-2024,04:35:40 PM,66x118,995,107,1061,225,1440,1616
1,person,17-11-2024,04:35:42 PM,65x120,995,106,1060,226,1440,1616
2,truck,17-11-2024,04:35:42 PM,254x508,786,179,1040,687,1440,1616
1,truck,17-11-2024,04:35:44 PM,260x509,783,179,1043,688,1440,1616
2,person,17-11-2024,04:35:44 PM,64x118,995,107,1059,225,1440,1616
1,truck,17-11-2024,04:35:45 PM,258x509,784,179,1042,688,1440,1616
1,truck,17-11-2024,04:35:47 PM,253x508,787,180,1040,688,1440,1616
2,person,17-11-2024,04:35:47 PM,64x119,995,106,1059,225,1440,1616
1,bus,17-11-2024,04:35:48 PM,257x509,784,179,1041,688,1440,1616
2,person,17-11-2024,04:35:48 PM,64x119,995,106,1059,225,1440,1616
1,motorcycle,17-11-2024,04:35:50 PM,46x61,727,0,773,61,1440,1616
2,person,17-11-2024,04:35:50 PM,65x114,995,109,1060,223,1440,1616
3,truck,17-11-2024,04:35:50 PM,257x509,785,178,1042,687,1440,1616
1,truck,17-11-2024,04:35:52 PM,257x509,785,179,1042,688,1440,1616
1,truck,17-11-2024,04:35:53 PM,255x506,786,180,1041,686,1440,1616
1,truck,17-11-2024,04:35:55 PM,257x507,785,180,1042,687,1440,1616
2,person,17-11-2024,04:35:55 PM,64x119,995,106,1059,225,1440,1616
1,truck,17-11-2024,04:35:57 PM,255x507,786,179,1041,686,1440,1616
1,truck,17-11-2024,04:35:59 PM,255x508,786,180,1041,688,1440,1616
1,truck,17-11-2024,04:36:01 PM,256x509,785,179,1041,688,1440,1616
2,person,17-11-2024,04:36:01 PM,192x664,1161,659,1353,1323,1440,1616
3,person,17-11-2024,04:36:01 PM,64x120,995,105,1059,225,1440,1616
1,truck,17-11-2024,04:36:03 PM,256x508,785,180,1041,688,1440,1616
1,truck,17-11-2024,04:36:04 PM,255x509,786,178,1041,687,1440,1616
2,person,17-11-2024,04:36:04 PM,70x121,992,105,1062,226,1440,1616
1,truck,17-11-2024,04:36:06 PM,258x508,784,179,1042,687,1440,1616
2,person,17-11-2024,04:36:06 PM,65x116,995,107,1060,223,1440,1616
1,truck,17-11-2024,04:36:08 PM,255x507,785,180,1040,687,1440,1616
2,person,17-11-2024,04:36:08 PM,63x121,996,105,1059,226,1440,1616
1,person,17-11-2024,04:36:10 PM,212x630,1162,676,1374,1306,1440,1616
2,truck,17-11-2024,04:36:10 PM,256x510,785,178,1041,688,1440,1616
1,truck,17-11-2024,04:36:11 PM,253x507,787,180,1040,687,1440,1616
2,person,17-11-2024,04:36:11 PM,65x118,995,107,1060,225,1440,1616
1,truck,17-11-2024,04:36:13 PM,257x508,785,179,1042,687,1440,1616
2,person,17-11-2024,04:36:13 PM,60x114,997,108,1057,222,1440,1616
1,truck,17-11-2024,04:36:14 PM,259x508,784,179,1043,687,1440,1616
2,person,17-11-2024,04:36:14 PM,62x118,996,106,1058,224,1440,1616
1,truck,17-11-2024,04:36:16 PM,255x509,786,179,1041,688,1440,1616
1,truck,17-11-2024,04:36:17 PM,254x509,786,179,1040,688,1440,1616
2,person,17-11-2024,04:36:17 PM,65x119,995,106,1060,225,1440,1616
1,truck,17-11-2024,04:36:19 PM,256x508,785,179,1041,687,1440,1616
2,person,17-11-2024,04:36:19 PM,65x121,994,105,1059,226,1440,1616
1,truck,17-11-2024,04:36:21 PM,253x507,787,180,1040,687,1440,1616
1,truck,17-11-2024,04:36:22 PM,256x507,785,180,1041,687,1440,1616
1,truck,17-11-2024,04:36:24 PM,257x507,785,180,1042,687,1440,1616
2,person,17-11-2024,04:36:24 PM,67x120,994,106,1061,226,1440,1616
1,truck,17-11-2024,04:36:25 PM,258x510,784,178,1042,688,1440,1616
1,truck,17-11-2024,04:36:27 PM,255x507,785,180,1040,687,1440,1616
2,person,17-11-2024,04:36:27 PM,63x119,996,106,1059,225,1440,1616
1,bus,17-11-2024,04:37:48 PM,248x509,781,179,1029,688,1440,1616
1,truck,17-11-2024,04:37:49 PM,258x511,784,178,1042,689,1440,1616
2,person,17-11-2024,04:37:49 PM,63x125,996,103,1059,228,1440,1616
1,truck,17-11-2024,04:37:51 PM,252x509,787,179,1039,688,1440,1616
2,person,17-11-2024,04:37:51 PM,68x122,993,105,1061,227,1440,1616
1,truck,17-11-2024,04:37:52 PM,254x508,786,179,1040,687,1440,1616
2,person,17-11-2024,04:37:52 PM,63x122,995,105,1058,227,1440,1616
1,truck,17-11-2024,04:37:53 PM,255x508,786,179,1041,687,1440,1616
2,person,17-11-2024,04:37:53 PM,66x117,994,107,1060,224,1440,1616
1,person,17-11-2024,04:37:55 PM,62x118,996,107,1058,225,1440,1616
2,truck,17-11-2024,04:37:55 PM,257x508,784,179,1041,687,1440,1616
1,truck,17-11-2024,04:37:56 PM,258x509,784,179,1042,688,1440,1616
2,person,17-11-2024,04:37:56 PM,63x116,995,107,1058,223,1440,1616
1,truck,17-11-2024,04:37:57 PM,257x510,785,178,1042,688,1440,1616
2,person,17-11-2024,04:37:57 PM,63x118,995,106,1058,224,1440,1616
1,truck,17-11-2024,04:37:59 PM,256x507,785,180,1041,687,1440,1616
2,person,17-11-2024,04:37:59 PM,65x117,995,107,1060,224,1440,1616
1,truck,17-11-2024,04:38:00 PM,257x508,785,179,1042,687,1440,1616
2,person,17-11-2024,04:38:00 PM,66x121,994,105,1060,226,1440,1616
1,person,17-11-2024,04:38:02 PM,65x123,995,104,1060,227,1440,1616
2,truck,17-11-2024,04:38:02 PM,254x507,779,180,1033,687,1440,1616
1,truck,17-11-2024,04:38:04 PM,256x507,785,180,1041,687,1440,1616
2,person,17-11-2024,04:38:04 PM,63x116,996,107,1059,223,1440,1616
1,person,17-11-2024,04:38:06 PM,234x351,1089,1256,1323,1607,1440,1616
2,truck,17-11-2024,04:38:06 PM,254x510,786,178,1040,688,1440,1616
3,person,17-11-2024,04:38:06 PM,61x122,997,105,1058,227,1440,1616
1,truck,17-11-2024,04:38:07 PM,256x509,785,179,1041,688,1440,1616
2,person,17-11-2024,04:38:07 PM,65x119,994,106,1059,225,1440,1616
1,truck,17-11-2024,04:38:09 PM,252x509,780,179,1032,688,1440,1616
1,car,18-11-2024,03:04:24 PM,243x283,84,54,327,337,1440,1616
2,person,18-11-2024,03:04:24 PM,81x342,676,91,757,433,1440,1616
3,bus,18-11-2024,03:04:24 PM,175x368,844,59,1019,427,1440,1616
1,car,18-11-2024,03:04:25 PM,246x284,76,53,322,337,1440,1616
2,bus,18-11-2024,03:04:25 PM,175x361,844,62,1019,423,1440,1616
3,person,18-11-2024,03:04:25 PM,54x323,754,62,808,385,1440,1616
1,car,18-11-2024,03:04:27 PM,245x282,76,54,321,336,1440,1616
2,person,18-11-2024,03:04:27 PM,61x293,773,37,834,330,1440,1616
1,car,18-11-2024,03:04:28 PM,244x283,77,54,321,337,1440,1616
2,person,18-11-2024,03:04:28 PM,59x265,757,11,816,276,1440,1616
3,bus,18-11-2024,03:04:28 PM,173x370,845,58,1018,428,1440,1616
1,car,18-11-2024,03:04:29 PM,247x286,75,53,322,339,1440,1616
2,bus,18-11-2024,03:04:29 PM,176x370,843,58,1019,428,1440,1616
1,car,18-11-2024,03:04:30 PM,247x284,75,53,322,337,1440,1616
2,bus,18-11-2024,03:04:30 PM,173x372,845,57,1018,429,1440,1616
3,person,18-11-2024,03:04:30 PM,58x208,684,2,742,210,1440,1616
1,car,18-11-2024,03:04:32 PM,246x285,76,53,322,338,1440,1616
2,bus,18-11-2024,03:04:32 PM,172x374,846,56,1018,430,1440,1616
1,car,18-11-2024,03:04:33 PM,244x284,77,54,321,338,1440,1616
2,bus,18-11-2024,03:04:33 PM,173x376,845,55,1018,431,1440,1616
1,car,18-11-2024,03:04:35 PM,245x284,76,54,321,338,1440,1616
2,bus,18-11-2024,03:04:35 PM,170x374,852,56,1022,430,1440,1616
1,car,18-11-2024,03:04:36 PM,245x285,76,53,321,338,1440,1616
2,bus,18-11-2024,03:04:36 PM,175x373,844,49,1019,422,1440,1616
1,car,18-11-2024,03:04:38 PM,246x286,76,52,322,338,1440,1616
2,bus,18-11-2024,03:04:38 PM,174x375,845,55,1019,430,1440,1616
1,car,18-11-2024,03:04:39 PM,245x283,76,54,321,337,1440,1616
2,bus,18-11-2024,03:04:39 PM,173x377,845,54,1018,431,1440,1616
1,car,18-11-2024,03:04:40 PM,245x283,76,54,321,337,1440,1616
2,bus,18-11-2024,03:04:40 PM,173x379,845,53,1018,432,1440,1616
1,car,18-11-2024,03:04:42 PM,245x284,76,53,321,337,1440,1616
2,bus,18-11-2024,03:04:42 PM,173x374,845,56,1018,430,1440,1616
1,car,18-11-2024,03:04:43 PM,248x284,75,54,323,338,1440,1616
2,bus,18-11-2024,03:04:43 PM,173x376,845,55,1018,431,1440,1616
1,car,18-11-2024,03:04:45 PM,246x281,82,56,328,337,1440,1616
2,bus,18-11-2024,03:04:45 PM,173x376,845,54,1018,430,1440,1616
1,car,18-11-2024,03:04:47 PM,248x283,74,54,322,337,1440,1616
2,bus,18-11-2024,03:04:47 PM,175x375,844,48,1019,423,1440,1616
1,car,18-11-2024,03:04:48 PM,245x284,76,54,321,338,1440,1616
2,bus,18-11-2024,03:04:48 PM,172x379,846,53,1018,432,1440,1616
1,car,18-11-2024,03:04:50 PM,245x283,76,55,321,338,1440,1616
2,bus,18-11-2024,03:04:50 PM,171x382,846,43,1017,425,1440,1616
1,car,18-11-2024,03:04:51 PM,246x285,76,53,322,338,1440,1616
1,car,18-11-2024,03:04:53 PM,245x280,82,56,327,336,1440,1616
2,bus,18-11-2024,03:04:53 PM,169x393,847,37,1016,430,1440,1616
1,car,18-11-2024,03:04:54 PM,244x284,77,54,321,338,1440,1616
2,bus,18-11-2024,03:04:54 PM,173x375,845,56,1018,431,1440,1616
1,car,18-11-2024,03:04:55 PM,244x284,77,54,321,338,1440,1616
2,bus,18-11-2024,03:04:55 PM,171x378,846,54,1017,432,1440,1616
1,car,18-11-2024,03:04:57 PM,248x281,81,55,329,336,1440,1616
2,bus,18-11-2024,03:04:57 PM,173x370,845,58,1018,428,1440,1616
1,car,18-11-2024,03:04:58 PM,243x280,83,55,326,335,1440,1616
2,bus,18-11-2024,03:04:58 PM,171x373,846,56,1017,429,1440,1616
1,car,18-11-2024,03:05:00 PM,245x284,76,54,321,338,1440,1616
2,bus,18-11-2024,03:05:00 PM,171x377,846,54,1017,431,1440,1616
1,car,18-11-2024,03:05:01 PM,243x282,77,55,320,337,1440,1616
2,bus,18-11-2024,03:05:01 PM,171x374,846,56,1017,430,1440,1616
1,car,18-11-2024,03:05:03 PM,246x279,82,56,328,335,1440,1616
